title,category,seniority,experience_years_min,experience_years_max,salary_min_tnd,salary_avg_tnd,salary_max_tnd,currency,period,education,top_skills,region,source
Full Stack Developer,Tech,Lead,8,15,4300,5050,5950,TND,mensuel_brut,Master,"React, Angular, Node, NestJS, FastAPI, SQL",Tunisie,estimation_marche_TN_reference
Java Developer,Tech,Junior,0,2,1300,1550,1850,TND,mensuel_brut,Licence,"Java, Spring, SQL, REST, Docker",Tunisie,estimation_marche_TN_reference
Java Developer,Tech,Mid,2,4,2100,2500,2950,TND,mensuel_brut,Ingénieur/Master,"Java, Spring, SQL, REST, Docker",Tunisie,estimation_marche_TN_reference
Java Developer,Tech,Senior,5,8,3150,3700,4350,TND,mensuel_brut,Ingénieur/Master,"Java, Spring, SQL, REST, Docker",Tunisie,estimation_marche_TN_reference
Java Developer,Tech,Lead,8,15,4150,4900,5800,TND,mensuel_brut,Master,"Java, Spring, SQL, REST, Docker",Tunisie,estimation_marche_TN_reference
PHP Developer,Tech,Junior,0,2,1150,1350,1600,TND,mensuel_brut,Licence,"PHP, Laravel, MySQL, SQL",Tunisie,estimation_marche_TN_reference
PHP Developer,Tech,Mid,2,4,1850,2200,2600,TND,mensuel_brut,Ingénieur/Master,"PHP, Laravel, MySQL, SQL",Tunisie,estimation_marche_TN_reference
PHP Developer,Tech,Senior,5,8,2750,3250,3850,TND,mensuel_brut,Ingénieur/Master,"PHP, Laravel, MySQL, SQL",Tunisie,estimation_marche_TN_reference
PHP Developer,Tech,Lead,8,15,3650,4300,5050,TND,mensuel_brut,Master,"PHP, Laravel, MySQL, SQL",Tunisie,estimation_marche_TN_reference
.NET Developer,Tech,Junior,0,2,1300,1500,1750,TND,mensuel_brut,Licence,"C#, .NET, SQL, Azure",Tunisie,estimation_marche_TN_reference
.NET Developer,Tech,Mid,2,4,2050,2400,2850,TND,mensuel_brut,Ingénieur/Master,"C#, .NET, SQL, Azure",Tunisie,estimation_marche_TN_reference
.NET Developer,Tech,Senior,5,8,3000,3550,4200,TND,mensuel_brut,Ingénieur/Master,"C#, .NET, SQL, Azure",Tunisie,estimation_marche_TN_reference
.NET Developer,Tech,Lead,8,15,4000,4700,5550,TND,mensuel_brut,Master,"C#, .NET, SQL, Azure",Tunisie,estimation_marche_TN_reference
WordPress Developer,Tech,Junior,0,2,950,1100,1300,TND,mensuel_brut,Licence,"WordPress, PHP, CSS, SEO",Tunisie,estimation_marche_TN_reference
WordPress Developer,Tech,Mid,2,4,1550,1800,2100,TND,mensuel_brut,Ingénieur/Master,"WordPress, PHP, CSS, SEO",Tunisie,estimation_marche_TN_reference
WordPress Developer,Tech,Senior,5,8,2250,2650,3150,TND,mensuel_brut,Ingénieur/Master,"WordPress, PHP, CSS, SEO",Tunisie,estimation_marche_TN_reference
WordPress Developer,Tech,Lead,8,15,3000,3500,4150,TND,mensuel_brut,Master,"WordPress, PHP, CSS, SEO",Tunisie,estimation_marche_TN_reference
Mobile Developer,Tech,Junior,0,2,1300,1550,1850,TND,mensuel_brut,Licence,"React Native, Flutter, Kotlin, Swift",Tunisie,estimation_marche_TN_reference
Mobile Developer,Tech,Mid,2,4,2100,2500,2950,TND,mensuel_brut,Ingénieur/Master,"React Native, Flutter, Kotlin, Swift",Tunisie,estimation_marche_TN_reference
Mobile Developer,Tech,Senior,5,8,3150,3700,4350,TND,mensuel_brut,Ingénieur/Master,"React Native, Flutter, Kotlin, Swift",Tunisie,estimation_marche_TN_reference
Mobile Developer,Tech,Lead,8,15,4150,4900,5800,TND,mensuel_brut,Master,"React Native, Flutter, Kotlin, Swift",Tunisie,estimation_marche_TN_reference
iOS Developer,Tech,Junior,0,2,1350,1600,1900,TND,mensuel_brut,Licence,"Swift, iOS, Xcode, REST",Tunisie,estimation_marche_TN_reference
iOS Developer,Tech,Mid,2,4,2200,2600,3050,TND,mensuel_brut,Ingénieur/Master,"Swift, iOS, Xcode, REST",Tunisie,estimation_marche_TN_reference
iOS Developer,Tech,Senior,5,8,3250,3850,4550,TND,mensuel_brut,Ingénieur/Master,"Swift, iOS, Xcode, REST",Tunisie,estimation_marche_TN_reference
iOS Developer,Tech,Lead,8,15,4300,5050,5950,TND,mensuel_brut,Master,"Swift, iOS, Xcode, REST",Tunisie,estimation_marche_TN_reference
Android Developer,Tech,Junior,0,2,1300,1550,1850,TND,mensuel_brut,Licence,"Kotlin, Android, Java, REST",Tunisie,estimation_marche_TN_reference
Android Developer,Tech,Mid,2,4,2100,2500,2950,TND,mensuel_brut,Ingénieur/Master,"Kotlin, Android, Java, REST",Tunisie,estimation_marche_TN_reference
Android Developer,Tech,Senior,5,8,3150,3700,4350,TND,mensuel_brut,Ingénieur/Master,"Kotlin, Android, Java, REST",Tunisie,estimation_marche_TN_reference
Android Developer,Tech,Lead,8,15,4150,4900,5800,TND,mensuel_brut,Master,"Kotlin, Android, Java, REST",Tunisie,estimation_marche_TN_reference
DevOps Engineer,Tech,Junior,0,2,1550,1850,2200,TND,mensuel_brut,Licence,"Docker, Kubernetes, CI/CD, AWS, Terraform",Tunisie,estimation_marche_TN_reference
DevOps Engineer,Tech,Mid,2,4,2550,3000,3550,TND,mensuel_brut,Ingénieur/Master,"Docker, Kubernetes, CI/CD, AWS, Terraform",Tunisie,estimation_marche_TN_reference
DevOps Engineer,Tech,Senior,5,8,3800,4450,5250,TND,mensuel_brut,Ingénieur/Master,"Docker, Kubernetes, CI/CD, AWS, Terraform",Tunisie,estimation_marche_TN_reference
DevOps Engineer,Tech,Lead,8,15,4950,5850,6900,TND,mensuel_brut,Master,"Docker, Kubernetes, CI/CD, AWS, Terraform",Tunisie,estimation_marche_TN_reference
SRE Engineer,Tech,Junior,0,2,1750,2050,2400,TND,mensuel_brut,Licence,"Kubernetes, Linux, Monitoring, AWS, Terraform",Tunisie,estimation_marche_TN_reference
SRE Engineer,Tech,Mid,2,4,2800,3300,3900,TND,mensuel_brut,Ingénieur/Master,"Kubernetes, Linux, Monitoring, AWS, Terraform",Tunisie,estimation_marche_TN_reference
SRE Engineer,Tech,Senior,5,8,4150,4900,5800,TND,mensuel_brut,Ingénieur/Master,"Kubernetes, Linux, Monitoring, AWS, Terraform",Tunisie,estimation_marche_TN_reference
SRE Engineer,Tech,Lead,8,15,5500,6450,7600,TND,mensuel_brut,Master,"Kubernetes, Linux, Monitoring, AWS, Terraform",Tunisie,estimation_marche_TN_reference
Cloud Engineer,Tech,Junior,0,2,1700,2000,2350,TND,mensuel_brut,Licence,"AWS, Azure, Kubernetes, Terraform, Linux",Tunisie,estimation_marche_TN_reference
Cloud Engineer,Tech,Mid,2,4,2700,3200,3800,TND,mensuel_brut,Ingénieur/Master,"AWS, Azure, Kubernetes, Terraform, Linux",Tunisie,estimation_marche_TN_reference
Cloud Engineer,Tech,Senior,5,8,4050,4750,5600,TND,mensuel_brut,Ingénieur/Master,"AWS, Azure, Kubernetes, Terraform, Linux",Tunisie,estimation_marche_TN_reference
Cloud Engineer,Tech,Lead,8,15,5300,6250,7400,TND,mensuel_brut,Master,"AWS, Azure, Kubernetes, Terraform, Linux",Tunisie,estimation_marche_TN_reference
Network Engineer,Tech,Junior,0,2,1300,1500,1750,TND,mensuel_brut,Licence,"Cisco, Linux, Réseaux, Sécurité",Tunisie,estimation_marche_TN_reference
Network Engineer,Tech,Mid,2,4,2050,2400,2850,TND,mensuel_brut,Ingénieur/Master,"Cisco, Linux, Réseaux, Sécurité",Tunisie,estimation_marche_TN_reference
Network Engineer,Tech,Senior,5,8,3000,3550,4200,TND,mensuel_brut,Ingénieur/Master,"Cisco, Linux, Réseaux, Sécurité",Tunisie,estimation_marche_TN_reference
Network Engineer,Tech,Lead,8,15,4000,4700,5550,TND,mensuel_brut,Master,"Cisco, Linux, Réseaux, Sécurité",Tunisie,estimation_marche_TN_reference
Cybersecurity Engineer,Tech,Junior,0,2,1550,1850,2200,TND,mensuel_brut,Licence,"Sécurité, Penetration Testing, SIEM, Linux",Tunisie,estimation_marche_TN_reference
Cybersecurity Engineer,Tech,Mid,2,4,2550,3000,3550,TND,mensuel_brut,Ingénieur/Master,"Sécurité, Penetration Testing, SIEM, Linux",Tunisie,estimation_marche_TN_reference
Cybersecurity Engineer,Tech,Senior,5,8,3800,4450,5250,TND,mensuel_brut,Ingénieur/Master,"Sécurité, Penetration Testing, SIEM, Linux",Tunisie,estimation_marche_TN_reference
Cybersecurity Engineer,Tech,Lead,8,15,4950,5850,6900,TND,mensuel_brut,Master,"Sécurité, Penetration Testing, SIEM, Linux",Tunisie,estimation_marche_TN_reference
Embedded Engineer,Tech,Junior,0,2,1350,1600,1900,TND,mensuel_brut,Licence,"C, C++, RTOS, Microcontrollers, Linux",Tunisie,estimation_marche_TN_reference
Embedded Engineer,Tech,Mid,2,4,2200,2600,3050,TND,mensuel_brut,Ingénieur/Master,"C, C++, RTOS, Microcontrollers, Linux",Tunisie,estimation_marche_TN_reference
Embedded Engineer,Tech,Senior,5,8,3250,3850,4550,TND,mensuel_brut,Ingénieur/Master,"C, C++, RTOS, Microcontrollers, Linux",Tunisie,estimation_marche_TN_reference
Embedded Engineer,Tech,Lead,8,15,4300,5050,5950,TND,mensuel_brut,Master,"C, C++, RTOS, Microcontrollers, Linux",Tunisie,estimation_marche_TN_reference
QA Engineer,Tech,Junior,0,2,1150,1350,1600,TND,mensuel_brut,Licence,"Selenium, Cypress, Pytest, Automation, Agile",Tunisie,estimation_marche_TN_reference
QA Engineer,Tech,Mid,2,4,1850,2200,2600,TND,mensuel_brut,Ingénieur/Master,"Selenium, Cypress, Pytest, Automation, Agile",Tunisie,estimation_marche_TN_reference
QA Engineer,Tech,Senior,5,8,2750,3250,3850,TND,mensuel_brut,Ingénieur/Master,"Selenium, Cypress, Pytest, Automation, Agile",Tunisie,estimation_marche_TN_reference
QA Engineer,Tech,Lead,8,15,3650,4300,5050,TND,mensuel_brut,Master,"Selenium, Cypress, Pytest, Automation, Agile",Tunisie,estimation_marche_TN_reference
Salesforce Developer,Tech,Junior,0,2,1500,1750,2050,TND,mensuel_brut,Licence,"Salesforce, Apex, CRM, SQL",Tunisie,estimation_marche_TN_reference
Salesforce Developer,Tech,Mid,2,4,2400,2800,3300,TND,mensuel_brut,Ingénieur/Master,"Salesforce, Apex, CRM, SQL",Tunisie,estimation_marche_TN_reference
Salesforce Developer,Tech,Senior,5,8,3550,4150,4900,TND,mensuel_brut,Ingénieur/Master,"Salesforce, Apex, CRM, SQL",Tunisie,estimation_marche_TN_reference
Salesforce Developer,Tech,Lead,8,15,4650,5450,6450,TND,mensuel_brut,Master,"Salesforce, Apex, CRM, SQL",Tunisie,estimation_marche_TN_reference
Software Architect,Tech,Senior,5,8,5650,6650,7850,TND,mensuel_brut,Ingénieur/Master,"Microservices, Cloud, Java, Architecture, Kubernetes",Tunisie,estimation_marche_TN_reference
Software Architect,Tech,Lead,8,15,7500,8800,10400,TND,mensuel_brut,Master,"Microservices, Cloud, Java, Architecture, Kubernetes",Tunisie,estimation_marche_TN_reference
Solutions Architect,Tech,Senior,5,8,6050,7100,8400,TND,mensuel_brut,Ingénieur/Master,"Cloud, AWS, Architecture, Microservices",Tunisie,estimation_marche_TN_reference
Solutions Architect,Tech,Lead,8,15,7950,9350,11050,TND,mensuel_brut,Master,"Cloud, AWS, Architecture, Microservices",Tunisie,estimation_marche_TN_reference
Data Scientist,Data,Junior,0,2,1750,2050,2400,TND,mensuel_brut,Licence,"Python, Machine Learning, Pandas, SQL",Tunisie,estimation_marche_TN_reference
Data Scientist,Data,Mid,2,4,2800,3300,3900,TND,mensuel_brut,Ingénieur/Master,"Python, Machine Learning, Pandas, SQL",Tunisie,estimation_marche_TN_reference
Data Scientist,Data,Senior,5,8,4150,4900,5800,TND,mensuel_brut,Ingénieur/Master,"Python, Machine Learning, Pandas, SQL",Tunisie,estimation_marche_TN_reference
Data Scientist,Data,Lead,8,15,5500,6450,7600,TND,mensuel_brut,Master,"Python, Machine Learning, Pandas, SQL",Tunisie,estimation_marche_TN_reference
Data Engineer,Data,Junior,0,2,1600,1900,2250,TND,mensuel_brut,Licence,"Python, Spark, SQL, ETL, AWS",Tunisie,estimation_marche_TN_reference
Data Engineer,Data,Mid,2,4,2650,3100,3650,TND,mensuel_brut,Ingénieur/Master,"Python, Spark, SQL, ETL, AWS",Tunisie,estimation_marche_TN_reference
Data Engineer,Data,Senior,5,8,3900,4600,5450,TND,mensuel_brut,Ingénieur/Master,"Python, Spark, SQL, ETL, AWS",Tunisie,estimation_marche_TN_reference
Data Engineer,Data,Lead,8,15,5150,6050,7150,TND,mensuel_brut,Master,"Python, Spark, SQL, ETL, AWS",Tunisie,estimation_marche_TN_reference
Data Analyst,Data,Junior,0,2,1250,1450,1700,TND,mensuel_brut,Licence,"SQL, Excel, Power BI, Python, Tableau",Tunisie,estimation_marche_TN_reference
Data Analyst,Data,Mid,2,4,1950,2300,2700,TND,mensuel_brut,Ingénieur/Master,"SQL, Excel, Power BI, Python, Tableau",Tunisie,estimation_marche_TN_reference
Data Analyst,Data,Senior,5,8,2900,3400,4000,TND,mensuel_brut,Ingénieur/Master,"SQL, Excel, Power BI, Python, Tableau",Tunisie,estimation_marche_TN_reference
Data Analyst,Data,Lead,8,15,3800,4500,5300,TND,mensuel_brut,Master,"SQL, Excel, Power BI, Python, Tableau",Tunisie,estimation_marche_TN_reference
ML Engineer,Data,Junior,0,2,1800,2100,2500,TND,mensuel_brut,Licence,"Python, Machine Learning, Docker, MLOps",Tunisie,estimation_marche_TN_reference
ML Engineer,Data,Mid,2,4,2900,3400,4000,TND,mensuel_brut,Ingénieur/Master,"Python, Machine Learning, Docker, MLOps",Tunisie,estimation_marche_TN_reference
ML Engineer,Data,Senior,5,8,4300,5050,5950,TND,mensuel_brut,Ingénieur/Master,"Python, Machine Learning, Docker, MLOps",Tunisie,estimation_marche_TN_reference
ML Engineer,Data,Lead,8,15,5650,6650,7850,TND,mensuel_brut,Master,"Python, Machine Learning, Docker, MLOps",Tunisie,estimation_marche_TN_reference
BI Analyst,Data,Junior,0,2,1300,1500,1750,TND,mensuel_brut,Licence,"Power BI, SQL, ETL, Tableau, Excel",Tunisie,estimation_marche_TN_reference
BI Analyst,Data,Mid,2,4,2050,2400,2850,TND,mensuel_brut,Ingénieur/Master,"Power BI, SQL, ETL, Tableau, Excel",Tunisie,estimation_marche_TN_reference
BI Analyst,Data,Senior,5,8,3000,3550,4200,TND,mensuel_brut,Ingénieur/Master,"Power BI, SQL, ETL, Tableau, Excel",Tunisie,estimation_marche_TN_reference
BI Analyst,Data,Lead,8,15,4000,4700,5550,TND,mensuel_brut,Master,"Power BI, SQL, ETL, Tableau, Excel",Tunisie,estimation_marche_TN_reference
UI/UX Designer,Design,Junior,0,2,1150,1350,1600,TND,mensuel_brut,Licence,"Figma, UX, UI, Prototype, Design",Tunisie,estimation_marche_TN_reference
UI/UX Designer,Design,Mid,2,4,1850,2200,2600,TND,mensuel_brut,Ingénieur/Master,"Figma, UX, UI, Prototype, Design",Tunisie,estimation_marche_TN_reference
UI/UX Designer,Design,Senior,5,8,2750,3250,3850,TND,mensuel_brut,Ingénieur/Master,"Figma, UX, UI, Prototype, Design",Tunisie,estimation_marche_TN_reference
UI/UX Designer,Design,Lead,8,15,3650,4300,5050,TND,mensuel_brut,Master,"Figma, UX, UI, Prototype, Design",Tunisie,estimation_marche_TN_reference
Graphic Designer,Design,Junior,0,2,1000,1200,1400,TND,mensuel_brut,Licence,"Photoshop, Illustrator, Figma, Design",Tunisie,estimation_marche_TN_reference
Graphic Designer,Design,Mid,2,4,1600,1900,2250,TND,mensuel_brut,Ingénieur/Master,"Photoshop, Illustrator, Figma, Design",Tunisie,estimation_marche_TN_reference
Graphic Designer,Design,Senior,5,8,2400,2800,3300,TND,mensuel_brut,Ingénieur/Master,"Photoshop, Illustrator, Figma, Design",Tunisie,estimation_marche_TN_reference
Graphic Designer,Design,Lead,8,15,3150,3700,4350,TND,mensuel_brut,Master,"Photoshop, Illustrator, Figma, Design",Tunisie,estimation_marche_TN_reference
Project Manager,Management,Senior,5,8,4400,5200,6150,TND,mensuel_brut,Ingénieur/Master,"Agile, Jira, Planning, Budget, Leadership",Tunisie,estimation_marche_TN_reference
Project Manager,Management,Lead,8,15,5800,6800,8000,TND,mensuel_brut,Master,"Agile, Jira, Planning, Budget, Leadership",Tunisie,estimation_marche_TN_reference
Product Manager,Management,Senior,5,8,5000,5900,6950,TND,mensuel_brut,Ingénieur/Master,"Product, Roadmap, Agile, Analytics, Leadership",Tunisie,estimation_marche_TN_reference
Product Manager,Management,Lead,8,15,6650,7800,9200,TND,mensuel_brut,Master,"Product, Roadmap, Agile, Analytics, Leadership",Tunisie,estimation_marche_TN_reference
Scrum Master,Management,Junior,0,2,1700,2000,2350,TND,mensuel_brut,Licence,"Scrum, Agile, Jira, Leadership",Tunisie,estimation_marche_TN_reference
Scrum Master,Management,Mid,2,4,2700,3200,3800,TND,mensuel_brut,Ingénieur/Master,"Scrum, Agile, Jira, Leadership",Tunisie,estimation_marche_TN_reference
Scrum Master,Management,Senior,5,8,4050,4750,5600,TND,mensuel_brut,Ingénieur/Master,"Scrum, Agile, Jira, Leadership",Tunisie,estimation_marche_TN_reference
Scrum Master,Management,Lead,8,15,5300,6250,7400,TND,mensuel_brut,Master,"Scrum, Agile, Jira, Leadership",Tunisie,estimation_marche_TN_reference
Engineering Manager,Management,Senior,5,8,6300,7400,8750,TND,mensuel_brut,Ingénieur/Master,"Leadership, Agile, Architecture, Management",Tunisie,estimation_marche_TN_reference
Engineering Manager,Management,Lead,8,15,8300,9750,11500,TND,mensuel_brut,Master,"Leadership, Agile, Architecture, Management",Tunisie,estimation_marche_TN_reference
HR Assistant,RH,Junior,0,2,950,1100,1300,TND,mensuel_brut,Licence,"Recrutement, Paie, SIRH, Communication",Tunisie,estimation_marche_TN_reference
HR Assistant,RH,Mid,2,4,1550,1800,2100,TND,mensuel_brut,Ingénieur/Master,"Recrutement, Paie, SIRH, Communication",Tunisie,estimation_marche_TN_reference
HR Assistant,RH,Senior,5,8,2250,2650,3150,TND,mensuel_brut,Ingénieur/Master,"Recrutement, Paie, SIRH, Communication",Tunisie,estimation_marche_TN_reference
HR Assistant,RH,Lead,8,15,3000,3500,4150,TND,mensuel_brut,Master,"Recrutement, Paie, SIRH, Communication",Tunisie,estimation_marche_TN_reference
Recruiter,RH,Junior,0,2,1150,1350,1600,TND,mensuel_brut,Licence,"Recrutement, Sourcing, ATS, Communication",Tunisie,estimation_marche_TN_reference
Recruiter,RH,Mid,2,4,1850,2200,2600,TND,mensuel_brut,Ingénieur/Master,"Recrutement, Sourcing, ATS, Communication",Tunisie,estimation_marche_TN_reference
Recruiter,RH,Senior,5,8,2750,3250,3850,TND,mensuel_brut,Ingénieur/Master,"Recrutement, Sourcing, ATS, Communication",Tunisie,estimation_marche_TN_reference
Recruiter,RH,Lead,8,15,3650,4300,5050,TND,mensuel_brut,Master,"Recrutement, Sourcing, ATS, Communication",Tunisie,estimation_marche_TN_reference
IT Recruiter,RH,Junior,0,2,1300,1500,1750,TND,mensuel_brut,Licence,"Recrutement, Sourcing, ATS, LinkedIn",Tunisie,estimation_marche_TN_reference
IT Recruiter,RH,Mid,2,4,2050,2400,2850,TND,mensuel_brut,Ingénieur/Master,"Recrutement, Sourcing, ATS, LinkedIn",Tunisie,estimation_marche_TN_reference
IT Recruiter,RH,Senior,5,8,3000,3550,4200,TND,mensuel_brut,Ingénieur/Master,"Recrutement, Sourcing, ATS, LinkedIn",Tunisie,estimation_marche_TN_reference
IT Recruiter,RH,Lead,8,15,4000,4700,5550,TND,mensuel_brut,Master,"Recrutement, Sourcing, ATS, LinkedIn",Tunisie,estimation_marche_TN_reference
HR Business Partner,RH,Senior,5,8,3800,4450,5250,TND,mensuel_brut,Ingénieur/Master,"RH, Gestion des talents, Droit du travail",Tunisie,estimation_marche_TN_reference
HR Business Partner,RH,Lead,8,15,4950,5850,6900,TND,mensuel_brut,Master,"RH, Gestion des talents, Droit du travail",Tunisie,estimation_marche_TN_reference
HR Manager,RH,Senior,5,8,4750,5600,6600,TND,mensuel_brut,Ingénieur/Master,"RH, Management, Paie, Droit du travail, Leadership",Tunisie,estimation_marche_TN_reference
HR Manager,RH,Lead,8,15,6300,7400,8750,TND,mensuel_brut,Master,"RH, Management, Paie, Droit du travail, Leadership",Tunisie,estimation_marche_TN_reference
Sales Representative,Commercial,Junior,0,2,1050,1250,1500,TND,mensuel_brut,Licence,"Prospection, CRM, Négociation, Vente",Tunisie,estimation_marche_TN_reference
Sales Representative,Commercial,Mid,2,4,1700,2000,2350,TND,mensuel_brut,Ingénieur/Master,"Prospection, CRM, Négociation, Vente",Tunisie,estimation_marche_TN_reference
Sales Representative,Commercial,Senior,5,8,2500,2950,3500,TND,mensuel_brut,Ingénieur/Master,"Prospection, CRM, Négociation, Vente",Tunisie,estimation_marche_TN_reference
Sales Representative,Commercial,Lead,8,15,3300,3900,4600,TND,mensuel_brut,Master,"Prospection, CRM, Négociation, Vente",Tunisie,estimation_marche_TN_reference
Business Developer,Commercial,Junior,0,2,1300,1550,1850,TND,mensuel_brut,Licence,"Business Development, CRM, Négociation, Prospection",Tunisie,estimation_marche_TN_reference
Business Developer,Commercial,Mid,2,4,2100,2500,2950,TND,mensuel_brut,Ingénieur/Master,"Business Development, CRM, Négociation, Prospection",Tunisie,estimation_marche_TN_reference
Business Developer,Commercial,Senior,5,8,3150,3700,4350,TND,mensuel_brut,Ingénieur/Master,"Business Development, CRM, Négociation, Prospection",Tunisie,estimation_marche_TN_reference
Business Developer,Commercial,Lead,8,15,4150,4900,5800,TND,mensuel_brut,Master,"Business Development, CRM, Négociation, Prospection",Tunisie,estimation_marche_TN_reference
Account Manager,Commercial,Senior,5,8,3550,4150,4900,TND,mensuel_brut,Ingénieur/Master,"CRM, Négociation, Relation client, Vente",Tunisie,estimation_marche_TN_reference
Account Manager,Commercial,Lead,8,15,4650,5450,6450,TND,mensuel_brut,Master,"CRM, Négociation, Relation client, Vente",Tunisie,estimation_marche_TN_reference
Sales Manager,Commercial,Senior,5,8,5000,5900,6950,TND,mensuel_brut,Ingénieur/Master,"Management, Vente, CRM, Leadership, Négociation",Tunisie,estimation_marche_TN_reference
Sales Manager,Commercial,Lead,8,15,6650,7800,9200,TND,mensuel_brut,Master,"Management, Vente, CRM, Leadership, Négociation",Tunisie,estimation_marche_TN_reference
Community Manager,Marketing,Senior,5,8,2250,2650,3150,TND,mensuel_brut,Ingénieur/Master,"Réseaux sociaux, Content, SEO, Communication",Tunisie,estimation_marche_TN_reference
Community Manager,Marketing,Lead,8,15,3000,3500,4150,TND,mensuel_brut,Master,"Réseaux sociaux, Content, SEO, Communication",Tunisie,estimation_marche_TN_reference
Digital Marketing Specialist,Marketing,Junior,0,2,1250,1450,1700,TND,mensuel_brut,Licence,"SEO, SEA, Analytics, Content",Tunisie,estimation_marche_TN_reference
Digital Marketing Specialist,Marketing,Mid,2,4,1950,2300,2700,TND,mensuel_brut,Ingénieur/Master,"SEO, SEA, Analytics, Content",Tunisie,estimation_marche_TN_reference
Digital Marketing Specialist,Marketing,Senior,5,8,2900,3400,4000,TND,mensuel_brut,Ingénieur/Master,"SEO, SEA, Analytics, Content",Tunisie,estimation_marche_TN_reference
Digital Marketing Specialist,Marketing,Lead,8,15,3800,4500,5300,TND,mensuel_brut,Master,"SEO, SEA, Analytics, Content",Tunisie,estimation_marche_TN_reference
Content Writer,Marketing,Junior,0,2,950,1100,1300,TND,mensuel_brut,Licence,"Rédaction, SEO, Content, Communication",Tunisie,estimation_marche_TN_reference
Content Writer,Marketing,Mid,2,4,1550,1800,2100,TND,mensuel_brut,Ingénieur/Master,"Rédaction, SEO, Content, Communication",Tunisie,estimation_marche_TN_reference
Content Writer,Marketing,Senior,5,8,2250,2650,3150,TND,mensuel_brut,Ingénieur/Master,"Rédaction, SEO, Content, Communication",Tunisie,estimation_marche_TN_reference
Content Writer,Marketing,Lead,8,15,3000,3500,4150,TND,mensuel_brut,Master,"Rédaction, SEO, Content, Communication",Tunisie,estimation_marche_TN_reference
Marketing Manager,Marketing,Senior,5,8,4400,5200,6150,TND,mensuel_brut,Ingénieur/Master,"Marketing, SEO, Analytics, Management, Leadership",Tunisie,estimation_marche_TN_reference
Marketing Manager,Marketing,Lead,8,15,5800,6800,8000,TND,mensuel_brut,Master,"Marketing, SEO, Analytics, Management, Leadership",Tunisie,estimation_marche_TN_reference
Accountant,Finance,Junior,0,2,1150,1350,1600,TND,mensuel_brut,Licence,"Comptabilité, Excel, Fiscalité, Reporting",Tunisie,estimation_marche_TN_reference
Accountant,Finance,Mid,2,4,1850,2200,2600,TND,mensuel_brut,Ingénieur/Master,"Comptabilité, Excel, Fiscalité, Reporting",Tunisie,estimation_marche_TN_reference
Accountant,Finance,Senior,5,8,2750,3250,3850,TND,mensuel_brut,Ingénieur/Master,"Comptabilité, Excel, Fiscalité, Reporting",Tunisie,estimation_marche_TN_reference
Accountant,Finance,Lead,8,15,3650,4300,5050,TND,mensuel_brut,Master,"Comptabilité, Excel, Fiscalité, Reporting",Tunisie,estimation_marche_TN_reference
Financial Analyst,Finance,Junior,0,2,1500,1750,2050,TND,mensuel_brut,Licence,"Analyse financière, Excel, Reporting, Budget",Tunisie,estimation_marche_TN_reference
Financial Analyst,Finance,Mid,2,4,2400,2800,3300,TND,mensuel_brut,Ingénieur/Master,"Analyse financière, Excel, Reporting, Budget",Tunisie,estimation_marche_TN_reference
Financial Analyst,Finance,Senior,5,8,3550,4150,4900,TND,mensuel_brut,Ingénieur/Master,"Analyse financière, Excel, Reporting, Budget",Tunisie,estimation_marche_TN_reference
